시군명,사업장명,인허가일자,영업상태명,입소정원(명),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
용인시,서원마을현대홈타운 경로당,20010521,운영중,25,,경기도 용인시 수지구 상현동 85-6번지,16861,37.3092321096,127.0815272927
용인시,원천마을푸르지오경로당,20040205,운영중,20,경기도 용인시 수지구 고기로 3,경기도 용인시 수지구 동천동 910번지 1통4반,16825,37.3423389600,127.1011076153
용인시,삼성래미안2차(아)경로당,20040211,운영중,195,경기도 용인시 기흥구 구성로 90,경기도 용인시 기흥구 언남동 495번지,16919,37.2928482286,127.1184673159
용인시,서천동 경로당,19850721,운영중,51,경기도 용인시 기흥구 서그내로49번길 3,경기도 용인시 기흥구 서천동 253-2번지,17103,37.2426870577,127.0738845057
용인시,신일유토빌(아)경로당,20041201,운영중,0,,경기도 용인시 기흥구 상하동 435-2번지,16994,37.2715703404,127.1397436647
용인시,송전3리경로당,20040507,운영중,44,경기도 용인시 처인구 이동읍 경기동로676번길 54,경기도 용인시 처인구 이동면 송전리 535-34번지,17136,37.1367295278,127.1980125561
용인시,마평16통 경로당,20040525,운영중,20,경기도 용인시 처인구 중부대로1504번길 31,경기도 용인시 처인구 마평동 597-1번지 105호,17145,37.2304926669,127.2132859446
용인시,상하2리경로당,20030708,운영중,30,경기도 용인시 기흥구 중부대로747번길 19-3,경기도 용인시 기흥구 상하동 330-3번지,16996,37.2621328774,127.1429056111
용인시,신봉마을 LG빌리지5차 A단지(아) 경로당,20031027,운영중,31,,경기도 용인시 수지구 신봉동,,37.3309607013,127.0736289770
용인시,양현마을 신안.풍림(아) 경로당,20020312,운영중,0,,경기도 용인시 기흥구 신갈동 양현마을신안풍림아파트,,37.2857720056,127.1021053366
용인시,상현마을현대성우2차 경로당,20021008,운영중,21,경기도 용인시 수지구 상현로11번길 26,경기도 용인시 수지구 상현동 825번지,16938,37.3041528952,127.0775854911
용인시,관골 경로당,20020101,운영중,20,경기도 용인시 기흥구 신구로22번길 7-24,경기도 용인시 기흥구 구갈동 409-7번지,16970,37.2752678753,127.1103223687
용인시,신봉마을자이3차경로당,20071205,운영중,23,경기도 용인시 수지구 신봉1로71번길 25,경기도 용인시 수지구 신봉동 912번지,16810,37.3207581285,127.0785270353
용인시,호수마을 서해그랑블(아) 경로당,20070511,운영중,60,,경기도 용인시 기흥구 동백동,,37.2785086640,127.1611008815
용인시,현대홈타운4차2단지경로당,20070514,운영중,39,,경기도 용인시 수지구 죽전동 1269번지 201 201동,,37.3322832920,127.1117575334
용인시,동원로얄듀크경로당,20070601,운영중,102,,경기도 용인시 기흥구 보정동 동원로얄듀크 경로당,,37.3159235873,127.1086541796
용인시,매릉경로당,20000930,운영중,19,,경기도 용인시 처인구 남사면,,37.1362428421,127.1550306674
용인시,삼인경로당,20000930,운영중,39,,경기도 용인시 처인구 남사면,,37.1362428421,127.1550306674
용인시,통삼4리 경로당,20000930,운영중,18,,경기도 용인시 처인구 남사면,,37.1362428421,127.1550306674
용인시,원암경로당,20000930,운영중,16,,경기도 용인시 처인구 남사면,,37.1362428421,127.1550306674
용인시,죽능3리 경로당,20000522,운영중,27,경기도 용인시 처인구 원삼면 후평로26번길 25,경기도 용인시 처인구 원삼면 죽능리 261번지,17170,37.1359831532,127.3117585347
용인시,서그내마을 SK아파트 경로당,20021119,운영중,50,,경기도 용인시 기흥구 서천동 서그내마을 SK 아파트,,37.2290728162,127.0870668201
용인시,율애,20070807,운영중,27,경기도 용인시 처인구 백암면 율애길 55-1,경기도 용인시 처인구 백암면 장평리 723-5번지,17182,37.1164250820,127.3791090001
용인시,에이스카운티아파트경로당,20170116,운영중,,,경기도 용인시 처인구 이동면 천리,,37.1943652518,127.2109555796
용인시,요산경로당,19830101,운영중,30,경기도 용인시 처인구 이동읍 화산로192번길 28-2,경기도 용인시 처인구 이동면 화산리 249번지,17135,37.1459805925,127.2251291688
용인시,호수마을 상록롯데캐슬(아) 경로당,20071012,운영중,24,,경기도 용인시 기흥구 중동,,37.2785086640,127.1611008815
용인시,삼계7리(우림필유) 경로당,20071106,운영중,25,,경기도 용인시 처인구 포곡읍 삼계리 우림필유아파트,,37.2848135578,127.2291001276
용인시,죽전동부센트레빌(아)경로당,19990617,운영중,25,,경기도 용인시 수지구 죽전동,,37.3322832920,127.1117575334
용인시,인정 3차 경로당,19960918,운영중,20,경기도 용인시 처인구 경안천로 368,경기도 용인시 처인구 유방동 1007-51번지,17038,37.2640486171,127.2174264037
용인시,율곡경로당,19960101,운영중,0,경기도 용인시 처인구 원삼면 백원로262번길 1,경기도 용인시 처인구 원삼면 두창리 1044-1번지,17176,37.1543987363,127.3451993991
