행정구역,총인구수,연령구간인구수,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
구서제1동,"19,622","8,845","1,802","1,749","1,727","1,314",892,623,452,209,60,16,1
구서제2동,"32,995","15,485","2,993","2,982","3,088","2,340","1,613","1,078",777,414,173,23,4
금성동,"1,042",555,69,89,121,101,84,34,27,21,7,1,1
강서구,"142,477","44,542","8,810","8,279","9,708","7,249","4,418","2,770","1,919",917,391,70,11
대저1동,"6,473","4,255",505,661,867,783,557,418,277,124,55,6,2
대저2동,"7,057","3,504",485,567,771,588,422,283,219,115,40,12,2
강동동,"4,191","3,016",292,486,741,568,361,263,174,84,40,5,2
명지1동,"52,976","11,030","2,600","2,231","2,448","1,718",944,494,355,160,66,12,2
명지2동,"30,361","7,229","1,990","1,413","1,505","1,073",593,308,184,105,48,9,1
가락동,"2,331","1,663",169,257,314,296,234,168,131,63,26,4,1
녹산동,"35,175","11,278","2,414","2,232","2,476","1,783","1,011",649,434,182,79,18,0
가덕도동,"3,913","2,567",355,432,586,440,296,187,145,84,37,4,1
연제구,"206,084","93,508","17,374","15,870","18,188","15,199","10,894","7,603","5,192","2,293",757,113,25
거제제1동,"29,136","11,837","2,730","2,028","2,026","1,702","1,277","1,011",664,291,84,18,6
거제제2동,"12,172","4,944","1,113",852,889,763,547,374,247,119,35,4,1
거제제3동,"9,933","5,399",872,726,957,880,673,570,440,202,67,12,0
거제제4동,"10,384","4,950",888,887,990,824,568,358,261,116,51,6,1
연산제1동,"16,714","7,694","1,278","1,398","1,625","1,280",936,568,384,163,49,10,3
연산제2동,"20,506","8,426","1,616","1,422","1,572","1,320",986,715,503,198,78,14,2
연산제3동,"9,109","4,734",766,673,974,815,618,450,278,121,35,3,1
연산제4동,"16,055","8,252","1,270","1,348","1,695","1,460","1,011",721,472,196,72,5,2
연산제5동,"16,454","6,307","1,254","1,099","1,231",974,709,519,338,146,29,6,2
연산제6동,"16,595","8,364","1,253","1,289","1,586","1,425","1,094",791,585,251,75,13,2
연산제8동,"14,086","6,311","1,160","1,168","1,272","1,067",744,459,265,124,48,4,0
연산제9동,"34,940","16,290","3,174","2,980","3,371","2,689","1,731","1,067",755,366,134,18,5
수영구,"173,770","80,825","13,913","12,898","15,340","13,387","10,079","7,107","4,921","2,254",776,132,18
남천제1동,"13,729","6,566","1,303","1,141","1,159",954,729,537,447,187,89,17,3
남천제2동,"11,912","5,642","1,107","1,010","1,068",886,635,431,276,150,64,12,3
수영동,"14,538","8,147","1,089","1,135","1,516","1,430","1,163",832,624,265,81,11,1
망미제1동,"27,291","13,878","2,002","2,162","2,685","2,473","1,810","1,246",869,451,151,28,1
망미제2동,"10,640","5,309",927,841,"1,043",886,675,488,273,130,41,4,1
광안제1동,"25,723","10,393","1,862","1,624","1,976","1,705","1,306",916,624,251,110,16,3
광안제2동,"18,449","7,816","1,410","1,273","1,421","1,196",964,763,502,215,64,6,2
광안제3동,"9,515","4,255",645,613,830,747,578,420,263,122,29,7,1
광안제4동,"13,634","6,022","1,126",956,"1,078",978,705,516,424,183,46,9,1
민락동,"28,339","12,797","2,442","2,143","2,564","2,132","1,514",958,619,300,101,22,2
사상구,"206,944","101,417","18,437","20,104","22,228","15,969","10,880","6,765","4,444","1,934",526,111,19
삼락동,"5,761","3,446",558,651,739,557,393,266,196,61,20,4,1
모라제1동,"27,806","14,039","2,414","2,774","3,158","2,307","1,542",925,591,240,74,12,2
모라제3동,"10,346","7,048",893,"1,087","1,308","1,207","1,012",679,535,259,54,11,3
덕포제1동,"8,589","4,418",797,888,924,648,497,336,216,85,19,8,0
덕포제2동,"12,870","6,545","1,089","1,365","1,497","1,080",709,413,237,109,36,8,2
괘법동,"22,253","9,928","1,853","2,137","2,273","1,534","1,005",592,334,148,40,8,4
감전동,"13,188","7,366","1,200","1,430","1,596","1,205",835,583,327,135,37,16,2
주례제1동,"15,090","7,437","1,410","1,574","1,644","1,170",723,449,276,144,40,7,0
주례제2동,"22,749","9,483","1,800","1,873","2,036","1,406","1,018",647,474,168,50,9,2
주례제3동,"13,103","6,464","1,161","1,185","1,438","1,039",689,422,318,169,37,6,0
학장동,"28,193","13,688","2,616","2,589","3,074","2,206","1,438",865,576,238,74,9,3
엄궁동,"26,996","11,555","2,646","2,551","2,541","1,610","1,019",588,364,178,45,13,0
기장군,"176,596","66,453","13,609","11,292","12,284","10,100","7,473","5,356","3,667","1,860",624,157,31
기장읍,"52,615","25,699","4,891","4,482","4,743","3,775","2,866","2,231","1,598",781,254,68,10
장안읍,"8,561","4,765",713,781,932,769,520,418,340,194,71,21,6
정관읍,"81,782","21,727","5,423","3,491","3,755","3,336","2,443","1,621",975,475,161,42,5
일광면,"25,738","9,426","1,955","1,827","1,904","1,359",970,641,409,257,80,19,5
철마면,"7,900","4,836",627,711,950,861,674,445,345,153,58,7,5
